^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR,en_DEBUG
CHECKBOX,5965,-1.0,-1.0,-1.0,ACTIVE,,-1,Yes,Sim,Yes
CHECKBOX,5966,-1.0,-1.0,-1.0,ACTIVE,,-1,No,Não,No
LTIPCode,1710,-1.0,-1.0,-1.0,ACTIVE,,-1,No,Não,No
LTIPCode,1711,-1.0,-1.0,-1.0,ACTIVE,,-1,Yes,Sim,Yes
LTIPCode,1712,-1.0,-1.0,-1.0,ACTIVE,,-1,TBD,TBD,TBD
NATURALIZED_CITIZEN_BRA,5963,-1.0,-1.0,-1.0,ACTIVE,,-1,Yes,Sim,Yes
NATURALIZED_CITIZEN_BRA,5964,-1.0,-1.0,-1.0,ACTIVE,,-1,No,Não,No
yesNo,380,0,0,0,ACTIVE,,-1,No,Não,No
yesNo,381,1.0,1.0,1.0,ACTIVE,,-1,Yes,Sim,Yes
yesNo,1177,0,0,0,DELETED,,-1,No,Não,No
yesNo,1178,1.0,1.0,1.0,DELETED,,-1,Yes,Sim,Yes
yesno,227,0,0,0,ACTIVE,null,-1,No,Não,No
yesno,228,0,0,0,ACTIVE,null,-1,Yes,Sim,Yes
yesno,937,0,0,0,DELETED,null,-1,No,Não,No
yesno,938,0,0,0,DELETED,null,-1,Yes,Sim,Yes
yesnomaybe,224,0,0,0,ACTIVE,null,-1,Limited,Limitado,Limited
yesnomaybe,225,0,0,0,ACTIVE,null,-1,No,Não,No
yesnomaybe,226,0,0,0,ACTIVE,null,-1,Yes,Sim,Yes
