^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR,en_DEBUG
degree,216,0,0,0,DELETED,null,-1,Associates,Associates,Associates
degree,217,0,0,0,ACTIVE,null,-1,Bachelors,Bacharelado,Bachelors
degree,218,0,0,0,ACTIVE,null,-1,Doctorate,Doutorado,Doctorate
degree,219,0,0,0,ACTIVE,null,-1,GED,MBA,GED
degree,220,0,0,0,ACTIVE,null,-1,High School Diploma,Ensino m�dio,High School Diploma
degree,221,0,0,0,ACTIVE,null,-1,Masters,Mestrado,Masters
degree,222,0,0,0,ACTIVE,null,-1,Other,Outros,Other
degree,223,0,0,0,DELETED,null,-1,Trade School,Escola de Comércio,Trade School
degree,929,0,0,0,DELETED,null,-1,Associate's,Associado,Associate's
degree,930,0,0,0,DELETED,null,-1,Bachelor's,Bacharel,Bachelor's
degree,931,0,0,0,DELETED,null,-1,Doctorate,Doutorado,Doctorate
degree,932,0,0,0,DELETED,null,-1,GED,GED,GED
degree,933,0,0,0,DELETED,null,-1,High School Diploma,Diploma do ensino médio,High School Diploma
degree,934,0,0,0,DELETED,null,-1,Master's,Mestrado,Master's
degree,935,0,0,0,DELETED,null,-1,Other,De outros,Other
degree,936,0,0,0,DELETED,null,-1,Trade School,Escola de Comércio,Trade School
