^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR
"ACADEMIC_TITLE,5952,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Dr."""
"ACADEMIC_TITLE,5953,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Prof."""
"ACADEMIC_TITLE,5954,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Prof. Dr."""
"ACADEMIC_TITLE,5955,-1.0,-1.0,-1.0,ACTIVE,,-1,,""B.A."""
"ACADEMIC_TITLE,5956,-1.0,-1.0,-1.0,ACTIVE,,-1,,""MBA"""
"ACADEMIC_TITLE,5957,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Ph.D."""
"ACCOMODATION_AUT,14622,-1.0,-1.0,-1.0,ACTIVE,,-1,,""No or‡amento"""
"ACCOMODATION_AUT,14623,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Outra acomoda‡?o"""
"ACCOMODATION_AUT,14624,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Outros ? Pais"""
"ALLOWANCE_AUT,13965,-1.0,-1.0,-1.0,ACTIVE,,-1,,""B“nus de natal"""
"ALLOWANCE_AUT,13966,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Subs¡dio educacional"""
"AREA_HKG,20617,-1.0,-1.0,-1.0,ACTIVE,""HK"",-1,,""Hong Kong Island"""
"AREA_HKG,20618,-1.0,-1.0,-1.0,ACTIVE,""KLN"",-1,,""Kowloon"""
"AREA_HKG,20619,-1.0,-1.0,-1.0,ACTIVE,""NT"",-1,,""New Territories"""
"AUTHORIZATION_RUS,14508,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Sim"""
"AUTHORIZATION_RUS,14509,-1.0,-1.0,-1.0,ACTIVE,,-1,,""N?o"""
"Authorization_CHN,13504,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Sal rio-fam¡lia"""
"Authorization_CHN,13505,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Sem pens?o"""
"Authorization_CHN,13506,-1.0,-1.0,-1.0,ACTIVE,,-1,,""Rendimento do treinamento"""
"BILINGUALISM_CAN,5633,-1.0,-1.0,-1.0,ACTIVE,""1"",-1,,""Not Bilingual"""
"BILINGUALISM_CAN,5634,-1.0,-1.0,-1.0,ACTIVE,""2"",-1,,""Bilingual"""
"BILINGUALISM_CAN,5635,-1.0,-1.0,-1.0,ACTIVE,""3"",-1,,""Receptive Skills Only"""
"BILINGUALISM_CAN,5636,-1.0,-1.0,-1.0,ACTIVE,""9"",-1,,""Unknown"""
"BLOODGROUP,5682,-1.0,-1.0,-1.0,ACTIVE,""O+"",-1,,""O+"""
"BLOODGROUP,5683,-1.0,-1.0,-1.0,ACTIVE,""A+"",-1,,""A+"""
"BLOODGROUP,5684,-1.0,-1.0,-1.0,ACTIVE,""B+"",-1,,""B+"""
"BLOODGROUP,5685,-1.0,-1.0,-1.0,ACTIVE,""AB+"",-1,,""AB+"""
"BLOODGROUP,5686,-1.0,-1.0,-1.0,ACTIVE,""O-"",-1,,""O-"""
"BLOODGROUP,5687,-1.0,-1.0,-1.0,ACTIVE,""A-"",-1,,""A-"""
