^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR,en_DEBUG
ACADEMIC_TITLE,5952,-1.0,-1.0,-1.0,ACTIVE,,-1,"Dr.","Dr.","Dr."
ACADEMIC_TITLE,5953,-1.0,-1.0,-1.0,ACTIVE,,-1,"Prof.","Prof.","Prof."
ACADEMIC_TITLE,5954,-1.0,-1.0,-1.0,ACTIVE,,-1,"Prof. Dr.","Prof. Dr.","Prof. Dr."
ACADEMIC_TITLE,5955,-1.0,-1.0,-1.0,ACTIVE,,-1,"B.A.","B.A.","B.A."
ACADEMIC_TITLE,5956,-1.0,-1.0,-1.0,ACTIVE,,-1,"MBA","MBA","MBA"
ACADEMIC_TITLE,5957,-1.0,-1.0,-1.0,ACTIVE,,-1,"Ph.D.","Ph.D.","Ph.D."
AggregCL,6631,-1.0,-1.0,-1.0,ACTIVE,"10000005",-1,"Marketing","Marketing","Marketing"
AggregCL,6632,-1.0,-1.0,-1.0,ACTIVE,"10000007",-1,"Sales","Vendas","Sales"
AggregCL,6633,-1.0,-1.0,-1.0,ACTIVE,"10000006",-1,"SCM","SCM","SCM"
AggregCL,6634,-1.0,-1.0,-1.0,ACTIVE,"10000003",-1,"Engineering","Engenharia","Engineering"
AggregCL,6635,-1.0,-1.0,-1.0,ACTIVE,"10000011",-1,"Industries","Indústrias","Industries"
AggregCL,6636,-1.0,-1.0,-1.0,ACTIVE,"10000014",-1,"Corporate","Corporativo","Corporate"
AggregCL,6637,-1.0,-1.0,-1.0,ACTIVE,"10000044",-1,"Accounting","Contabilidade","Accounting"
AggregCL,6638,-1.0,-1.0,-1.0,ACTIVE,"10000036",-1,"Public finances","As finanças públicas","Public finances"
AggregCL,6639,-1.0,-1.0,-1.0,ACTIVE,"10000034",-1,"Processes","Processos","Processes"
AggregCL,6640,-1.0,-1.0,-1.0,ACTIVE,"10000035",-1,"Applications","Aplicações","Applications"
AggregCL,6641,-1.0,-1.0,-1.0,ACTIVE,"10000016",-1,"Professional Services","Serviços profissionais","Professional Services"
AggregCL,6642,-1.0,-1.0,-1.0,ACTIVE,"10000017",-1,"Training Services","Serviços de treinamento","Training Services"
AggregCL,6643,-1.0,-1.0,-1.0,ACTIVE,"10000018",-1,"Support","Apoio","Support"
BILINGUALISM_CAN,5633,-1.0,-1.0,-1.0,ACTIVE,"1",-1,"Not Bilingual","Não bilingue","Not Bilingual"
BILINGUALISM_CAN,5634,-1.0,-1.0,-1.0,ACTIVE,"2",-1,"Bilingual","Bilíngüe","Bilingual"
BILINGUALISM_CAN,5635,-1.0,-1.0,-1.0,ACTIVE,"3",-1,"Receptive Skills Only","Apenas habilidades receptivas","Receptive Skills Only"
BILINGUALISM_CAN,5636,-1.0,-1.0,-1.0,ACTIVE,"9",-1,"Unknown","Desconhecido","Unknown"
BLOODGROUP,5682,-1.0,-1.0,-1.0,ACTIVE,"O+",-1,"O+","O +","O+"
BLOODGROUP,5683,-1.0,-1.0,-1.0,ACTIVE,"A+",-1,"A+","A +","A+"
BLOODGROUP,5684,-1.0,-1.0,-1.0,ACTIVE,"B+",-1,"B+","B +","B+"
BLOODGROUP,5685,-1.0,-1.0,-1.0,ACTIVE,"AB+",-1,"AB+","AB +","AB+"
BLOODGROUP,5686,-1.0,-1.0,-1.0,ACTIVE,"O-",-1,"O-","O-","O-"
BLOODGROUP,5687,-1.0,-1.0,-1.0,ACTIVE,"A-",-1,"A-","UMA-","A-"
