^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR
event-reason,1847,-1.0,-1.0,-1.0,ACTIVE,H,-1,,Hire
event-reason,1848,-1.0,-1.0,-1.0,ACTIVE,1,-1,,Additional Job
event-reason,1849,-1.0,-1.0,-1.0,ACTIVE,R,-1,,Rehire
event-reason,1850,-1.0,-1.0,-1.0,ACTIVE,2,-1,,Assignment Completion
event-reason,1851,-1.0,-1.0,-1.0,ACTIVE,C,-1,,Change Job
event-reason,1852,-1.0,-1.0,-1.0,ACTIVE,3,-1,,Assignment
event-reason,1853,-1.0,-1.0,-1.0,ACTIVE,Tr,-1,,Transfer
event-reason,1854,-1.0,-1.0,-1.0,ACTIVE,4,-1,,Demotion
event-reason,1855,-1.0,-1.0,-1.0,ACTIVE,5,-1,,Data Change
event-reason,1856,-1.0,-1.0,-1.0,ACTIVE,P,-1,,Promotion
event-reason,1857,-1.0,-1.0,-1.0,ACTIVE,6,-1,,Family Status Change
event-reason,1858,-1.0,-1.0,-1.0,ACTIVE,D,-1,,Data Change
event-reason,1859,-1.0,-1.0,-1.0,ACTIVE,T,-1,,Termination
event-reason,1860,-1.0,-1.0,-1.0,ACTIVE,7,-1,,Hire
event-reason,1861,-1.0,-1.0,-1.0,ACTIVE,RL,-1,,Return from Leave
event-reason,1862,-1.0,-1.0,-1.0,ACTIVE,OGA,-1,,Earnings Distribution Change
event-reason,1863,-1.0,-1.0,-1.0,ACTIVE,9,-1,,Job Reclassification
event-reason,1864,-1.0,-1.0,-1.0,ACTIVE,10,-1,,Leave of Absence
event-reason,1865,-1.0,-1.0,-1.0,ACTIVE,11,-1,,Layoff
event-reason,1866,-1.0,-1.0,-1.0,ACTIVE,12,-1,,Long Term Disability With Pay
event-reason,1867,-1.0,-1.0,-1.0,ACTIVE,13,-1,,Long Term Disability
event-reason,1868,-1.0,-1.0,-1.0,ACTIVE,14,-1,,Pay Rate Change
event-reason,1869,-1.0,-1.0,-1.0,ACTIVE,15,-1,,Position Change
event-reason,1870,-1.0,-1.0,-1.0,ACTIVE,16,-1,,Probation
event-reason,1871,-1.0,-1.0,-1.0,ACTIVE,17,-1,,Completion of Probation
event-reason,1872,-1.0,-1.0,-1.0,ACTIVE,18,-1,,Recall from Suspension/Layoff
event-reason,1873,-1.0,-1.0,-1.0,ACTIVE,19,-1,,Promotion
