^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR,en_DEBUG
event,830,-1.0,-1.0,-1.0,ACTIVE,1,-1,Additional Job,Emprego adicional,
event,831,-1.0,-1.0,-1.0,ACTIVE,2,-1,Assignment,Tarefa,
event,832,-1.0,-1.0,-1.0,ACTIVE,3,-1,Assignment Completion,Conclusão de tarefa,
event,833,-1.0,-1.0,-1.0,ACTIVE,16,-1,Job Change,Alteração de emprego,
event,834,-1.0,-1.0,-1.0,ACTIVE,15,-1,Completion of Probation,Conclusão de prova,
event,835,-1.0,-1.0,-1.0,ACTIVE,5,-1,Data Change,Mudança de dados,
event,836,-1.0,-1.0,-1.0,ACTIVE,4,-1,Demotion,Demérito,
event,837,-1.0,-1.0,-1.0,ACTIVE,11,-1,Furlough,Licença,
event,838,-1.0,-1.0,-1.0,ACTIVE,H,-1,Hire,Contratar,
event,839,-1.0,-1.0,-1.0,ACTIVE,9,-1,Job Reclassification,Reclassificação de emprego,
event,840,-1.0,-1.0,-1.0,ACTIVE,10,-1,Leave of Absence,Licença de dispensa,
event,841,-1.0,-1.0,-1.0,ACTIVE,12,-1,Pay Rate Change,Mudança de pagamento,
event,842,-1.0,-1.0,-1.0,ACTIVE,13,-1,Position Change,Mudança de posição,
event,843,-1.0,-1.0,-1.0,ACTIVE,14,-1,Probation,Provação,
event,844,-1.0,-1.0,-1.0,ACTIVE,8,-1,Promotion,Promoção,
event,845,-1.0,-1.0,-1.0,ACTIVE,R,-1,Rehire,Recontratar,
event,846,-1.0,-1.0,-1.0,ACTIVE,22,-1,Return From Disability,Retorno por disfunção,
event,847,-1.0,-1.0,-1.0,ACTIVE,23,-1,Return to Work,Retorno ao trabalho,
event,848,-1.0,-1.0,-1.0,ACTIVE,7,-1,Suspension,Suspensão,
event,849,-1.0,-1.0,-1.0,ACTIVE,26,-1,Termination,Demissão,
event,850,-1.0,-1.0,-1.0,ACTIVE,6,-1,Transfer,Transferência,
event,851,-1.0,-1.0,-1.0,ACTIVE,29,-1,One Time Bonus,Bonus,
event,852,-1.0,-1.0,-1.0,ACTIVE,GA,-1,Global Assignment,Atribuição global,
event,853,-1.0,-1.0,-1.0,ACTIVE,EGA,-1,End Global Assignment,Finalização de atribuição global,
event,854,-1.0,-1.0,-1.0,ACTIVE,OGA,-1,Obsoleto,Obsoleto,
event,855,-1.0,-1.0,-1.0,ACTIVE,SPP,-1,Iniciar pagamento de pensão,Iniciar pagamento de pensão,
